Wavelength	67481<10	sd	67481 10-20	sd	67481 20-45	sd	67481 <45	sd
960.00	0.42444	0.0044090	0.33267	0.0034610	0.24030	0.0029040	0.34291	0.0057500
965.00	0.42433	0.0041210	0.33380	0.0033460	0.24130	0.0032420	0.34301	0.0061780
970.00	0.42661	0.0041320	0.33547	0.0032380	0.24248	0.0029530	0.34480	0.0058710
975.00	0.42755	0.0042260	0.33698	0.0035180	0.24375	0.0031010	0.34674	0.0050990
980.00	0.42937	0.0040690	0.33841	0.0034730	0.24492	0.0029150	0.34738	0.0047330
985.00	0.43039	0.0039250	0.33977	0.0032480	0.24612	0.0028660	0.34933	0.0051580
990.00	0.43233	0.0042610	0.34133	0.0032670	0.24711	0.0033750	0.35063	0.0051980
995.00	0.43242	0.0042230	0.34290	0.0033890	0.24809	0.0028620	0.35156	0.0057180
1000.0	0.43484	0.0040220	0.34443	0.0033220	0.24897	0.0030710	0.35245	0.0061710
1005.0	0.43584	0.0043540	0.34591	0.0037100	0.25009	0.0030900	0.35508	0.0051770
1010.0	0.43806	0.0041770	0.34778	0.0035170	0.25105	0.0031580	0.35518	0.0045850
1015.0	0.43852	0.0045350	0.34882	0.0037480	0.25209	0.0032850	0.35684	0.0057040
1020.0	0.43948	0.0043620	0.35057	0.0035940	0.25307	0.0034040	0.35750	0.0053370
1025.0	0.43999	0.0042340	0.35196	0.0035730	0.25422	0.0028250	0.35880	0.0054760
1030.0	0.44253	0.0042240	0.35369	0.0036000	0.25533	0.0034990	0.36010	0.0057570
1035.0	0.44360	0.0044510	0.35527	0.0035120	0.25640	0.0032550	0.36141	0.0055980
1040.0	0.44479	0.0044390	0.35694	0.0036050	0.25778	0.0028920	0.36228	0.0055640
1045.0	0.44611	0.0042090	0.35786	0.0035490	0.25852	0.0033160	0.36452	0.0051000
1050.0	0.44747	0.0043740	0.35964	0.0037140	0.25926	0.0032600	0.36535	0.0049550
1055.0	0.44827	0.0045830	0.36016	0.0036310	0.26006	0.0030240	0.36718	0.0049280
1060.0	0.44995	0.0041320	0.36173	0.0036190	0.26108	0.0028290	0.36808	0.0050140
1065.0	0.45136	0.0042940	0.36323	0.0035050	0.26155	0.0029840	0.36957	0.0055330
1070.0	0.45228	0.0044900	0.36561	0.0036540	0.26261	0.0034530	0.37002	0.0052400
1075.0	0.45295	0.0044570	0.36587	0.0037290	0.26337	0.0031690	0.37114	0.0061950
1080.0	0.45385	0.0042460	0.36806	0.0035610	0.26463	0.0031890	0.37259	0.0061740
1085.0	0.45500	0.0040450	0.36902	0.0033620	0.26555	0.0030080	0.37411	0.0053740
1090.0	0.45763	0.0045970	0.37052	0.0036040	0.26682	0.0028530	0.37524	0.0055550
1095.0	0.45777	0.0044110	0.37163	0.0036960	0.26780	0.0029880	0.37551	0.0047760
1100.0	0.45949	0.0044130	0.37347	0.0037980	0.26902	0.0030790	0.37727	0.0046600
1105.0	0.46091	0.0043770	0.37497	0.0040040	0.26959	0.0028740	0.37907	0.0053550
1110.0	0.46214	0.0044760	0.37648	0.0039860	0.27051	0.0029460	0.37932	0.0056120
1115.0	0.46279	0.0044650	0.37707	0.0040150	0.27108	0.0031260	0.38044	0.0062810
1120.0	0.46493	0.0040950	0.37873	0.0035030	0.27186	0.0031210	0.38059	0.0064450
1125.0	0.46575	0.0043190	0.37977	0.0035100	0.27251	0.0030570	0.38222	0.0046640
1130.0	0.46621	0.0043180	0.38104	0.0038420	0.27330	0.0028610	0.38320	0.0047160
1135.0	0.46691	0.0041080	0.38256	0.0037550	0.27396	0.0029900	0.38392	0.0055870
1140.0	0.46882	0.0042690	0.38323	0.0037380	0.27507	0.0031300	0.38581	0.0059440
1145.0	0.46956	0.0046520	0.38480	0.0039480	0.27579	0.0032460	0.38556	0.0057910
1150.0	0.47054	0.0047710	0.38528	0.0040650	0.27665	0.0031890	0.38670	0.0055290
1155.0	0.47171	0.0046220	0.38675	0.0040010	0.27722	0.0030960	0.38724	0.0052750
1160.0	0.47298	0.0044770	0.38785	0.0040990	0.27783	0.0031480	0.38785	0.0052190
1165.0	0.47330	0.0041690	0.38836	0.0035130	0.27839	0.0029800	0.38882	0.0055690
1170.0	0.47488	0.0043450	0.38947	0.0038510	0.27914	0.0031710	0.38976	0.0056020
1175.0	0.47495	0.0043760	0.39039	0.0038580	0.27968	0.0032490	0.39109	0.0057340
1180.0	0.47589	0.0043010	0.39180	0.0037910	0.28058	0.0034560	0.39102	0.0051750
