Wavelength	62231 <10	sd	62231 10-20	sd	62231 20-45	sd	62231<45	sd
1185.0	0.31719		0.25894	0.0023640	0.19469	0.0023300	0.24743	0.0021570
1190.0	0.31812		0.26031	0.0022250	0.19511	0.0022720	0.24772	0.0020460
1195.0	0.31889		0.26092	0.0026470	0.19525	0.0022370	0.24859	0.0016420
1200.0	0.32004		0.26137	0.0023640	0.19616	0.0022770	0.24951	0.0017590
1205.0	0.32049		0.26229	0.0027510	0.19666	0.0024720	0.25047	0.0017920
1210.0	0.32056		0.26217	0.0026170	0.19735	0.0024270	0.25141	0.0018700
1215.0	0.32236		0.26400	0.0025860	0.19777	0.0022450	0.25125	0.0023930
1220.0	0.32302		0.26482	0.0023900	0.19836	0.0024110	0.25203	0.0025350
1225.0	0.32376		0.26575	0.0023590	0.19895	0.0025200	0.25308	0.0017250
1230.0	0.32438		0.26637	0.0025150	0.19956	0.0023100	0.25385	0.0018140
1235.0	0.32532		0.26699	0.0022980	0.19973	0.0021220	0.25433	0.0022590
1240.0	0.32540		0.26762	0.0020660	0.20013	0.0025400	0.25503	0.0022690
1245.0	0.32671		0.26855	0.0021050	0.20061	0.0028500	0.25575	0.0016490
1250.0	0.32773		0.26977	0.0023780	0.20087	0.0026640	0.25694	0.0016750
1255.0	0.32912		0.26989	0.0022950	0.20151	0.0026650	0.25656	0.0022060
1260.0	0.32936		0.27110	0.0022720	0.20232	0.0024290	0.25784	0.0020850
1265.0	0.33061		0.27188	0.0022160	0.20298	0.0026220	0.25860	0.0021220
1270.0	0.33114		0.27269	0.0022980	0.20345	0.0024850	0.26006	0.0022940
1275.0	0.33235		0.27363	0.0021060	0.20367	0.0023380	0.25975	0.0020800
1280.0	0.33326		0.27417	0.0020370	0.20420	0.0025490	0.26033	0.0022250
1285.0	0.33386		0.27537	0.0021820	0.20564	0.0024730	0.26159	0.0020620
1290.0	0.33505		0.27644	0.0021650	0.20645	0.0024630	0.26264	0.0018500
1295.0	0.33573		0.27752	0.0019940	0.20757	0.0023210	0.26310	0.0022200
1300.0	0.33721		0.27873	0.0021420	0.20827	0.0025920	0.26336	0.0022130
1305.0	0.33814		0.27991	0.0023680	0.20886	0.0023340	0.26535	0.0018540
1310.0	0.33882		0.28015	0.0020770	0.20957	0.0024510	0.26523	0.0016720
1315.0	0.33917		0.28110	0.0020650	0.21054	0.0026130	0.26620	0.0023520
1320.0	0.34130		0.28291	0.0019920	0.21096	0.0022710	0.26646	0.0023620
1325.0	0.34149		0.28392	0.0021760	0.21167	0.0024210	0.26827	0.0017960
1330.0	0.34279		0.28391	0.0020210	0.21244	0.0026260	0.26858	0.0018350
1335.0	0.34396		0.28575	0.0018960	0.21348	0.0025400	0.26971	0.0023560
1340.0	0.34561		0.28639	0.0018550	0.21365	0.0023640	0.26987	0.0021020
1345.0	0.34541		0.28707	0.0018170	0.21479	0.0027970	0.27171	0.0019110
1350.0	0.34588		0.28756	0.0018730	0.21527	0.0026590	0.27140	0.0018220
