Wavelength	64801 <10	sd	64801 10-20	sd	64801 20-45	sd	64801 <45	sd
1565.0	0.40516	0.0028050	0.32993	0.0027580	0.28132	0.0024080	0.31183	0.0028820
1570.0	0.40518	0.0026230	0.33043	0.0025890	0.28253	0.0025970	0.31264	0.0031100
1575.0	0.40627	0.0025100	0.33159	0.0025460	0.28380	0.0030170	0.31313	0.0025020
1580.0	0.40702	0.0026130	0.33151	0.0026810	0.28372	0.0023850	0.31303	0.0027650
1585.0	0.40736	0.0026200	0.33269	0.0026770	0.28454	0.0028590	0.31357	0.0028380
1590.0	0.40808	0.0025110	0.33319	0.0026040	0.28524	0.0032380	0.31443	0.0025580
1595.0	0.40878	0.0026350	0.33380	0.0025570	0.28447	0.0028070	0.31533	0.0030920
1600.0	0.40878	0.0026030	0.33452	0.0022960	0.28636	0.0032780	0.31586	0.0028100
1605.0	0.40987	0.0025080	0.33487	0.0027740	0.28607	0.0031060	0.31579	0.0025090
1610.0	0.40953	0.0025760	0.33550	0.0027620	0.28664	0.0029230	0.31680	0.0023170
1615.0	0.41088	0.0025210	0.33599	0.0023290	0.28679	0.0034240	0.31778	0.0030250
1620.0	0.41144	0.0024330	0.33684	0.0027550	0.28675	0.0036460	0.31826	0.0032430
1625.0	0.41214	0.0024780	0.33716	0.0026350	0.28679	0.0032890	0.31912	0.0028150
1630.0	0.41234	0.0024490	0.33736	0.0028990	0.28821	0.0031560	0.31929	0.0026880
1635.0	0.41234	0.0027690	0.33744	0.0024740	0.28803	0.0039630	0.31860	0.0026000
1640.0	0.41255	0.0025170	0.33825	0.0025430	0.28812	0.0037200	0.31942	0.0026450
1645.0	0.41392	0.0026740	0.33924	0.0026750	0.28840	0.0034320	0.32045	0.0028310
1650.0	0.41326	0.0028430	0.33929	0.0027370	0.28983	0.0041510	0.32046	0.0035440
1655.0	0.41471	0.0029080	0.34039	0.0028760	0.28989	0.0043480	0.32045	0.0032460
1660.0	0.41452	0.0029640	0.34086	0.0029460	0.29024	0.0042560	0.32122	0.0033410
1665.0	0.41596	0.0030770	0.34040	0.0028210	0.29146	0.0040490	0.32199	0.0032170
1670.0	0.41650	0.0031120	0.34129	0.0029010	0.29147	0.0042560	0.32243	0.0033170
1675.0	0.41682	0.0029890	0.34191	0.0026720	0.29177	0.0040870	0.32273	0.0032240
1680.0	0.41766	0.0028450	0.34191	0.0027320	0.29209	0.0039750	0.32328	0.0031450
1685.0	0.41829	0.0029240	0.34245	0.0027280	0.29295	0.0038780	0.32377	0.0034300
1690.0	0.41887	0.0026580	0.34301	0.0027670	0.29342	0.0040190	0.32467	0.0030840
1695.0	0.41895	0.0026400	0.34365	0.0026790	0.29382	0.0040190	0.32478	0.0030000
1700.0	0.41995	0.0026950	0.34425	0.0028280	0.29463	0.0038350	0.32532	0.0031830
1705.0	0.42069	0.0028150	0.34459	0.0026240	0.29526	0.0049000	0.32718	0.0032970
1710.0	0.42125	0.0027040	0.34531	0.0029300	0.29545	0.0049560	0.32708	0.0033440
1715.0	0.42171	0.0028440	0.34563	0.0030470	0.29606	0.0046630	0.32769	0.0034360
1720.0	0.42212	0.0027630	0.34616	0.0026040	0.29612	0.0047160	0.32845	0.0034790
